market_constraint,dayzer_constraint,dayzer_score,dayzer_confidence,pano_constraint,pano_score,pano_confidence
MAROA -E GOOSECREEK 345 KV L/O WILTON CENTER-DUMONT 765 KV FG | L765.DUMONT-WILTONCENTER.11215,COOK_765 KV_4-P:L765.Dumont-Wilton Center.11215,89.1566265060241,medium,Maroa -E GooseCreek 345 kV l/o Wilton Center-Dumont 765 kV | L765.Dumont-WiltonCenter.11215,100.0,high
PARADISE-BR TAP 161KV L/O WILSON BR UNIT 1 | WILSON UNIT 1,BR_TAP_161 KV_BRT-PAR:Wilson Unit 1,86.66666666666667,medium,PARADIS 161KV - BR_TAP 161KV (BR_TAP 161 KV BRT-PAR) | Wilson Unit 1,88.88888888888889,medium
MOHOMET - CHAMPTP 138 KV L/O CLINTON-OREANA-GOOSECRK 345 KV | L345.OREANA-MAROA-CLINTON-GOOSECREEK,CHAMP T3_138 KV_1592 2:L345.Oreana-Maroa-Clinton-GooseCreek,84.0,medium,Brokaw-N Leroy 138 kV l/o Clinton-Oreana-GooseCrk 345 kV | Clinton-Oreana-GooseCrk 345 kV,83.87096774193549,medium
TRENTON2138 KV  TRE-COL1 | ACTUAL,TRENTON2_138 KV_TRE-COL1:ACTUAL,81.35593220338983,medium,TRENTON2138 KV  HUS-TRE | 345/138.Desoto.T1 (Sctnlz),73.91304347826087,low
EASTON-EMUNI 6772 A 69 KV | ACTUAL,EASTON_69 KV_EAS-EMU:ACTUAL,84.21052631578948,medium,EASTON 69KV - EMUNI 69KV (EASTON 69 KV EAS-EMU) | BASE,72.34042553191489,low
16901   138 KV  16901 Z1 | ACTUAL,16901_138 KV_16901 Z1:ACTUAL,100.0,high,979 MEND 138KV - 16901 138KV (16901 138 KV 16901 Z1) | BASE,80.0,medium
BRAMBLET230 KV  BRA-EVRG | L230.BRAMBLETON-POLANDROAD.2183,BRAMBLET_230 KV_BRA-EVRG:L230.Brambleton-PolandRoad.2183,89.90825688073394,medium,BRAMBLET230 KV  2045A | L230.Brambleton-PolandRoad.2183,93.75,high
HANOVER 69 KV   HAN-PAR | ACTUAL,HANOVER_69 KV_HAN-PAR:ACTUAL,100.0,high,HANOVER 69KV - PARRISPL 69KV (HANOVER 69 KV HAN-PAR) | BASE,85.1063829787234,medium
GRACETON 230 KV GRACETON-SAFEHARB 2303 | 500/230.CONASTONE.500-4,GRACETON_230 KV_GRA-MANO:500/230.Conastone.500-4,88.31168831168831,medium,GRACETON-SAFEHARB 2303      A  230 KV | Conastone-Graceton 230kv,97.43589743589743,high
TURKEY HILL-MASCOUTA 138 KV L/O PRAIRIE STATE-MT VERNON 345 KV | PRAIRIE STATE-W MT. VERNON 345,HILG_138 KV_HIL-TURK:Prairie State-W Mt. Vernon 345,83.33333333333333,medium,Turkey Hill-Mascouta 138 kV l/o Prairie State-Mt Vernon 345 kV | Prairie State-W Mt. Vernon 345,100.0,high
DICKERSH 230 KV DICKERSH-DICKERSO 23103 | L500.DOUBS-GOOSECREEK.514,DICKERSH_230 KV_DIC-DIC3:L500.Doubs-GooseCreek.514,89.88764044943821,medium,DICKERSH 230KV - DICKERSO 230KV (DICKERSH 230 KV DIC-DIC4) | TEMP:L500.Doubs-GooseCreek.514 & Dickerson.23103,100.0,high
CEDARGRO 230 KV CEDARGRO-JACK PS L-2238 | ACTUAL,CEDARGRO_230 KV_CED-JAC:ACTUAL,84.0,medium,CEDARGRO 230KV - JACK PS 230KV (CEDARGRO 230 KV CED-JAC) | BASE,77.19298245614036,low
CARL PN-GARDNERS 1049 B 115 KV | 230/115.LEWISTOWN.T3,GARDNERS_115 KV_GAR-TEX:230/115.Lewistown.T3,89.74358974358974,medium,GARDNERS 115KV - CARL PN 115KV (CARL PN 115 KV CAR-GAR) | 230/115.Lewistown.T3,92.47311827956989,high
MEHOOPAN115 KV  MEH-NME2 | NORTH MESHOPPEN - MEHOOPANY1 115 KV LINE,MEHOOPAN_115 KV_MEH-NME2:North Meshoppen - Mehoopany1 115 kV line,95.65217391304348,high,MEHOOPAN 115KV - NMESHOPP 115KV (MEHOOPAN 115 KV MEH-NME2) | North Meshoppen - Mehoopany1 115 kV line,88.70967741935483,medium
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT | L138.KISKIVALLEY-BRACKENRIDGE-SHAFFERSCORNER,ALLDAM6_138 KV_ALL-KIT:L138.KiskiValley-AlleghenyLudlum2-ShaffersCorner,78.26086956521739,low,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT) | L138.KiskiValley-BrackenRidge-ShaffersCorner,95.71428571428571,high
GRACETON 230 KV GRACETON-SAFEHARB 2303 | L500.HUNTERSTOWN-CONASTONE.5013,GRACETON_230 KV_GRA-MANO:L500.Hunterstown-Conastone.5013+Cap,87.61904761904762,medium,GRACETON-SAFEHARB 2303      A  230 KV | L500.Hunterstown-Conastone.5013+Cap,100.0,high
RAMAPO  138 KV  RAM-SMA | ACTUAL,RAMAPO_138 KV_RAM-SMA:ACTUAL,100.0,high,RAMAPO 138KV - SMAWA 138KV (RAMAPO 138 KV RAM-SMA) | 345/138.SouthMahwah.BK258,85.1063829787234,medium
CAYUGA-HILSDALEN 230 KV L/O DRESSER-SUGARCREEK 345 KV | DRESSER-SUGARCREEK 345 KV,CAYUGA2_230 KV_CAY-HILS:Dresser-SugarCreek 345 kV,85.71428571428571,medium,SugarCreek-Dresser 345kV l/o Cayuga-BK10 345-230kV | Cayuga 345/230 xfmr 10,89.13043478260869,medium
VERMILION-TILTON 138 KV L/O BUNSONVILLE-SIDNEY 345 KV | BUNSONVILLE-SIDNEY 345 KV,TILTN EC_138 KV_TIL-VERM:Bunsonville-Sidney 345 kV,86.86868686868686,medium,Vermilion-NChampgn 138kV l/o Vermilion-Tilton 138kV | Vermilion-Tilton 138 kV,85.24590163934427,medium
18 WILL 138 KV 18 WILL -1808 1808 1 | ACTUAL,18 WILL_138 KV_1808 1:ACTUAL,100.0,high,1808 138KV - 18 WILL 138KV (18 WILL 138 KV 1808 1) | BASE,88.88888888888889,medium
WEEDMAN_MAHOMET_138_FLO_CLINTON_OREAN | CLINTON-OREANA-GOOSECRK 345 KV,WEEDMAN3_138 KV_1592 5:Clinton-Oreana-GooseCrk 345 kV,78.18181818181819,low,WEEDMAN3 138KV - MAHOMET 138KV (WEEDMAN3 138 KV 1592   4) | Clinton-Oreana-GooseCrk 345 kV,86.4406779661017,medium
GRANT 138 KV GRANT-GREENTO2 | ACTUAL,MIER_138 KV_MIER:ACTUAL,82.75862068965517,medium,GREENTO2 138KV - HUMMELCR 138KV (HUMMELCR 138 KV HUM-GRE1) | L138.Greentown-Grant,85.1063829787234,medium
KAMMER2 138 KV KAMMER-NATRIUM | ACTUAL,KAMMER2_138 KV_KAM-NAT:ACTUAL,88.88888888888889,medium,KAMMER2 138KV - KAMMER2 69KV (KAMMER2 138 KV TX4) | L138.Kammer-Natrium,88.88888888888889,medium
HIGHLAOE138 KV  HIG-COM1 | L345.WELLSVILLE-SAMMIS,HIGHLAOE_138 KV_HIG-COM1:L345.Wellsville-Sammis,87.91208791208791,medium,HIGHLAOE 138KV - COMERC 138KV (HIGHLAOE 138 KV HIG-COM1) | L345.Wellsville-Sammis,81.63265306122449,medium
HAVILAND138 KV HAV-TIM | L765.MARYSVILLE-SORENSON,HAVILAND_138 KV_HAV-TIM:L765.Marysville-Sorenson,88.17204301075269,medium,TIMBERRD 138KV - HAVILAND 138KV (HAVILAND 138 KV HAV-TIM) | L765.Marysville-Sorenson,82.05128205128204,medium
1206    138 KV  1206 4 | ACTUAL,1206_138 KV_1206 4:ACTUAL,100.0,high,J375 138KV - 1206 138KV (1206 138 KV 1206 4) | BASE,77.41935483870968,low
981 CRES138 KV 7413 | L138.MAZON-CRESCENTRDG-OGLESBY.7713 (OGLESBY TAP),CRES DUQ_138 KV_CRE-MTN:L138.Crescent-North.Z-21,59.04761904761905,weak,981 CRES 138KV - 74 KEWAN 138KV (981 CRES 138 KV 7413) | L138.Mazon-CrescentRdg-Oglesby.7713 (Oglesby Tap),90.56603773584905,high
DARLEYRD 69 KV DARLEYRD-NAAMANS 6835 | 230/138.EDGEMOOR.AT20,DARLEYRD_69 KV_DAR-NAA:230/138.Edgemoor.AT20,89.74358974358974,medium,NAAMANS 69KV - DARLEYRD 69KV (DARLEYRD 69 KV DAR-NAA) | 230/138.Edgemoor.AT20,94.50549450549451,high
OTTCRKPL230 KV  OTT-YOR | L500.CONASTONE-PEACHBOTTOM.5012,OTTCRKPL_230 KV_OTT-YOR:L500.Conastone-PeachBottom.5012,89.7196261682243,medium,OTTCRKPL230 KV  OTT-SAF | L500.Conastone-PeachBottom.5012,96.07843137254902,high
DEQUINE 345 KV  DEQ-FOWJ | ACTUAL,DEQUINE_345 KV_DEQ-FOWJ:ACTUAL,100.0,high,FOWLERJC 345KV - DEQUINE 345KV (DEQUINE 345 KV DEQ-FOWJ) | BASE,86.27450980392157,medium
